,fafb_x,fafb_y,fafb_z,cns_x,cns_y,cns_z
0,522.3290617332461,183.0494692239672,95.20721953770855,388.0265487263572,161.15977894532952,167.5335828691289
1,454.3914793785043,88.80129092623747,95.35999587611106,316.43066874088805,61.91384945285199,170.28496762767168
2,597.49279856645,98.03832674020684,83.20296018591031,448.9167050852195,60.41803936509347,171.13971624924807
3,520.0082375167881,210.97572940221403,125.01538369572798,386.935592398,193.88846879604571,208.37171476063443
4,414.54125581875405,169.81425676675926,155.26570930662302,274.9307426866601,152.79578042792426,222.69960787305985
5,645.532966117746,176.75862780422898,134.32294823046527,501.8496589849592,141.5225650348998,219.89948663027585
6,524.1892195682756,343.0580394910032,129.75428307423482,390.37422917294566,358.62553325895254,202.1365165028538
7,527.4786584807614,343.0580394910032,164.3664902978324,391.4707088104409,346.5642572465051,250.63746580139116
8,433.9123960811697,304.6812521786708,164.62233554658053,300.0974056858396,308.1874699341726,240.84224770643456
9,622.1414005178483,309.7981571536484,150.98943872039064,482.11302551004553,296.85718034672203,235.9446386589567
10,580.1096810805318,264.4769988038462,150.7335934716413,435.695387522748,246.0536238094437,240.62295177893628
11,471.192703756007,256.4361481288813,153.47479256538017,345.7840572481403,253.3634880594118,241.1346422764334
12,402.0817948212709,199.13117057389704,89.57862406523356,264.3530606054992,182.9321291387412,151.04591949583286
13,641.8453422202246,213.0199126488364,59.24268742786596,515.3729078474004,176.6099134347467,140.44126223312338
14,587.7523467704607,290.1389804859999,62.13008380660353,454.4428818497504,261.7569910096644,139.15122596313992
15,460.5607088210157,279.17418411104774,76.42086841529111,330.06784911070883,276.75505365930974,143.6210531818595
16,510.6332789332972,223.6192158112902,82.30530913651555,370.2721024855334,205.4838772221207,151.95429842682304
17,548.2790798206329,230.56358684875997,68.08762317032743,411.2073422853548,200.00147903464463,151.3695092868256
18,742.2677978606747,193.0225061631654,218.40907739224457,613.7048924813756,156.2011672856201,309.72648586081675
19,317.2055692054622,191.68314821551277,251.3068451604269,170.2389651756199,167.0081063079243,319.93055942653405
20,370.8658645230017,321.1568623709017,190.0402983824736,238.1914805909383,335.99190879356536,270.3551393751068
21,686.4261110590993,350.57095316598736,176.5970016895627,540.1171149967541,336.0620499843504,288.89227066594594
22,493.2838322121253,217.40785155020245,29.135064686437804,351.33673877488496,200.43070684232032,107.76380029470924
23,467.7627271707557,236.32867080501092,26.53895227705797,335.0511981971241,226.7047527796067,100.60483543761616
24,562.9858359802445,183.70998284969903,93.76751520906014,424.3798344624616,159.94895401807912,169.97481491801582
25,484.5824411823066,178.90977500492733,102.08787547333075,350.4566336529773,161.2690111753913,170.50283778094092
26,659.0687962877969,252.75241232608352,139.16753298984293,517.314694095091,233.2312906454465,231.10402398022967
27,391.8892276478039,245.00807700318515,157.89914405210283,257.42332457640583,232.26816356528025,230.18195416101923
28,392.37324860548495,158.85234653594105,104.12441565372625,245.23087747041632,144.81573876318774,158.18955662670865
29,661.9289201286401,173.90099812930032,68.3948685958091,535.1594311214233,136.10336152492712,157.8023398605634
