"Pt-0","true","272.20367278797994","33.22370617696157","132.35225375626123","441.2313440284205","95.22725452130759","86.14496727216242"
"Pt-1","true","194.5742904841402","95.82804674457428","176.77629382303635","364.02443436804066","150.98780038713744","144.90800406922915"
"Pt-2","true","200.584307178631","311.18697829716194","262.9699499165235","367.36053540274844","331.1372562613571","207.96031362520583"
"Pt-3","true","133.4724540901502","128.2320534223728","279.99833055091415","308.2638885022108","179.5829521132009","243.227667420688"
"Pt-4","true","235.14953227020735","233.87437485349784","267.2431199539253","399.837812795338","256.46867042226495","227.1116893037297"
"Pt-5","true","56.27961478634652","201.73688814937645","295.9707779530483","241.28773102884043","264.2132248700424","272.4064204029064"
"Pt-6","true","149.6244334035581","351.31790597597353","290.7356548518678","317.1236841711176","348.7994802979649","239.3674002577059"
"Pt-7","true","108.94978470365439","115.03176006479595","272.76673177648684","285.8347244830452","164.77797162404778","239.3674002577059"
"Pt-8","true","195.82190489022287","273.89591090986744","200.30636000199067","357.95842817080523","288.8731676750467","155.7887553960074"
"Pt-9","true","273.6373334182035","144.5727281644634","84.4075015991462","444.40080832598824","196.0138991770568","44.10307895010391"
"Pt-10","true","186.09285325206739","100.403198410002","144.29319334083857","370.8509376300481","149.976680021316","111.19773163214411"
"Pt-11","true","234.9905639841795","188.7569807441316","102.10107795651886","402.3626239580988","228.37678971296484","69.13877752185127"
"Pt-12","true","224.287313357816","96.98531874113816","116.66652078326837","412.32052585713234","140.98506748135705","84.33979471345125"
"Pt-13","true","270.89101183770435","289.66511074181864","204.7597768485589","442.4078203289397","321.3756839346514","153.9022174419773"
"Pt-14","true","298.02693858548406","78.23787405979613","231.7834526201033","468.00874715455774","135.45394390564093","188.00491089587823"
"Pt-15","true","23.066109503316525","236.1133331621965","262.17466352109926","201.63446042354704","252.72898452845754","229.1892925780671"
"Pt-16","true","206.74497393300715","201.5582606941893","201.07169177699967","370.50205456169044","251.0669019089877","156.88869863112515"
"Pt-17","true","163.86271360086116","178.71734385201364","166.43344779794575","331.60932126609373","214.08556362578173","135.28162457801608"
"Pt-18","true","74.79911675281541","314.71762442686895","271.61150808324066","254.00109233281324","332.78789812361646","223.64105899761"
"Pt-19","true","88.93546134403178","286.4700393159151","269.7746647478484","274.898246577617","310.54048846576313","237.50494088134678"
"Pt-20","true","127.72495462244765","272.52290252950746","286.32792811547677","307.26491642640326","301.59445438160134","249.1540882488771"
"Pt-21","true","207.78717282083494","151.93127564981495","108.73765429482313","377.10676420966877","191.2075705493543","89.08638595473799"
"Pt-22","true","174.0026264198788","58.1639093493349","221.2603761786909","340.8956327657211","124.54516388096602","190.0571968237294"
"Pt-23","true","232.9755634340753","225.81774445219628","121.38428638019457","389.6795919015547","261.1836186279032","78.80870676831444"
"Pt-24","true","297.1239226315386","239.68095875578132","97.97227711899636","463.7547760385577","271.12703437765356","50.73966079365927"
